company_name,car_name,engine_displacement_in_cc,battery_energy_capacity_in_kwh,horsepower_in_hp,torque_in_nm,performance_0_to_100_km_per_h,total_speed_in_km_per_h,seats_parsed,cars_price_amount,value_for_money,fuel_types_normalized,company_segment,Final_Cluster
Ferrari,Sf90 Stradale,3990.0,,963.0,800.0,2.5,340.0,2,1100000.0,87.54545454545455,Plug-in Hybrid,Luxury_Elite,1
Rolls Royce,Phantom,6749.0,,563.0,900.0,5.3,250.0,5,460000.0,122.39130434782608,Petrol,Luxury_Elite,1
Ford,Ka+,1200.0,,70.0,100.0,10.5,165.0,5,12000.0,583.3333333333334,Petrol,Mass_Market_Mainstream,0
Ford,Ka+,1200.0,,85.0,140.0,10.5,165.0,5,15000.0,566.6666666666667,Petrol,Mass_Market_Mainstream,0
Mercedes,Gt 63 S,3982.0,,630.0,900.0,3.2,250.0,4,161000.0,391.304347826087,Petrol,Premium_Performance,1
Audi,Audi R8 Gt,5204.0,,602.0,560.0,3.6,320.0,2,253290.0,237.6722334083462,Petrol,Premium_Performance,1
Bmw,Mclaren 720S,3994.0,,710.0,770.0,2.9,341.0,2,499000.0,142.28456913827657,Petrol,Other_Market,1
Aston Martin,Vantage F1,3982.0,,656.0,685.0,3.6,314.0,2,193440.0,339.1232423490488,Petrol,Luxury_Elite,1
Bentley,Continental Gt Azure,3996.0,,550.0,900.0,4.0,318.0,4,311000.0,176.84887459807075,Petrol,Luxury_Elite,1
Lamborghini,Veneno Roadster,6498.0,,750.0,690.0,2.9,356.0,2,4500000.0,16.666666666666668,Petrol,Luxury_Elite,1
Ferrari,F8 Tributo,3900.0,,710.0,770.0,2.9,340.0,2,280000.0,253.57142857142856,Petrol,Luxury_Elite,1
Ferrari,812 Gts,6496.0,,789.0,718.0,2.9,340.0,2,350000.0,225.42857142857144,Petrol,Luxury_Elite,1
Ferrari,Portofino,3900.0,,592.0,760.0,3.2,320.0,4,210000.0,281.9047619047619,Petrol,Luxury_Elite,1
Ferrari,Roma,3900.0,,612.0,760.0,3.4,320.0,4,230000.0,266.0869565217391,Petrol,Luxury_Elite,1
Ferrari,Monza Sp2,6496.0,,789.0,719.0,2.9,340.0,2,1700000.0,46.411764705882355,Petrol,Luxury_Elite,1
Ferrari,F8 Spider,3900.0,,710.0,770.0,2.9,340.0,2,280000.0,253.57142857142856,Petrol,Luxury_Elite,1
Ferrari,Portofino M,3900.0,,612.0,760.0,3.2,320.0,4,220000.0,278.1818181818182,Petrol,Luxury_Elite,1
Ferrari,Roma Spider,3900.0,,612.0,760.0,3.4,320.0,4,240000.0,255.00000000000003,Petrol,Luxury_Elite,1
Toyota,Gr Supra,2998.0,,382.0,500.0,4.1,250.0,2,53900.0,708.7198515769944,Petrol,Mass_Market_Mainstream,2
Toyota,Toyota 86,1998.0,,205.0,205.0,6.4,226.0,4,27000.0,759.2592592592592,Petrol,Mass_Market_Mainstream,2
Toyota,Toyota Gr86,2387.0,,228.0,250.0,5.6,226.0,4,30000.0,760.0,Petrol,Mass_Market_Mainstream,2
Toyota,Toyota Land Cruiser,5663.0,,381.0,500.0,6.7,220.0,7,85000.0,448.235294117647,Diesel,Mass_Market_Mainstream,2
Toyota,Toyota Sequoia,5663.0,,381.0,651.0,6.9,200.0,7,50000.0,762.0,Petrol,Mass_Market_Mainstream,2
Nissan,Gt-R,3799.0,,600.0,637.0,2.9,315.0,4,113000.0,530.9734513274336,Petrol,Mass_Market_Mainstream,1
Nissan,370Z,3696.0,,332.0,366.0,4.7,250.0,2,30000.0,1106.6666666666667,Petrol,Mass_Market_Mainstream,2
Nissan,Z Proto,2998.0,,400.0,475.0,4.1,290.0,2,40000.0,1000.0,Petrol,Mass_Market_Mainstream,2
Nissan,Altima,2488.0,,188.0,380.0,7.3,225.0,5,25000.0,752.0,Petrol,Mass_Market_Mainstream,2
Nissan,Maxima,3498.0,,300.0,354.0,5.8,240.0,5,35000.0,857.1428571428572,Petrol,Mass_Market_Mainstream,2
Nissan,Sentra,1998.0,,149.0,240.0,8.2,200.0,5,20000.0,745.0,Petrol,Mass_Market_Mainstream,0
Nissan,Rogue,2488.0,,201.0,270.0,7.5,200.0,5,28000.0,717.8571428571428,Petrol,Mass_Market_Mainstream,2
Nissan,Pathfinder,3498.0,,284.0,351.0,6.5,225.0,7,35000.0,811.4285714285714,Petrol,Mass_Market_Mainstream,2
Nissan,Frontier,3799.0,,310.0,381.0,6.8,180.0,5,30000.0,1033.3333333333333,Petrol,Mass_Market_Mainstream,2
Nissan,Titan,5598.0,,400.0,560.0,5.9,200.0,5,40000.0,1000.0,Petrol,Mass_Market_Mainstream,2
